process,"process_name","parent_process_name",dest,firstTime,lastTime
"""C:\Windows\system32\cmd.exe"" /c ""IF EXIST %temp%\T1222.001_cacls ( EXIT 0 ) ELSE ( EXIT 1 )""","cmd.exe","powershell.exe","ar-win-dc.attackrange.local","2023-10-04T09:00:41","2023-10-04T09:00:41"
"""C:\Windows\system32\cmd.exe"" /c ""IF EXIST %temp%\T1222.001_takeown_folder ( EXIT 0 ) ELSE ( EXIT 1 )""","cmd.exe","powershell.exe","ar-win-2.attackrange.local","2023-10-04T09:01:11","2023-10-04T09:01:11"
"""C:\Windows\system32\cmd.exe"" /c ""IF EXIST %temp%\T1222.001_takeown_folder ( EXIT 0 ) ELSE ( EXIT 1 )""","cmd.exe","powershell.exe","ar-win-dc.attackrange.local","2023-10-04T09:00:41","2023-10-04T09:00:41"
"""C:\Windows\system32\cmd.exe"" /c ""for /l %%x in (1,1,75) do start wordpad.exe /p C:\AtomicRedTeam\atomics\..\ExternalPayloads\T1059_003note.txt""","cmd.exe","powershell.exe","ar-win-2.attackrange.local","2023-10-04T09:38:39","2023-10-04T09:38:39"
"""C:\Windows\system32\cmd.exe"" /c ""for /l %%x in (1,1,75) do start wordpad.exe /p C:\AtomicRedTeam\atomics\..\ExternalPayloads\T1059_003note.txt""","cmd.exe","powershell.exe","ar-win-dc.attackrange.local","2023-10-04T09:35:00","2023-10-04T09:35:00"
"""C:\Windows\system32\cmd.exe"" /c ""for /l %x in (1,1,75) do start wordpad.exe /p C:\AtomicRedTeam\atomics\..\ExternalPayloads\T1059_003note.txt""","cmd.exe","powershell.exe","ar-win-2.attackrange.local","2023-10-04T09:38:39","2023-10-04T09:38:39"
"""C:\Windows\system32\cmd.exe"" /c ""for /l %x in (1,1,75) do start wordpad.exe /p C:\AtomicRedTeam\atomics\..\ExternalPayloads\T1059_003note.txt""","cmd.exe","powershell.exe","ar-win-dc.attackrange.local","2023-10-04T09:35:00","2023-10-04T09:35:00"
"""C:\Windows\system32\cmd.exe"" /c ""if not exist ""%%ProgramFiles%%\7-zip\7z.exe"" (exit /b 1)""","cmd.exe","powershell.exe","ar-win-2.attackrange.local","2023-10-04T09:11:17","2023-10-04T09:11:17"
"""C:\Windows\system32\cmd.exe"" /c ""if not exist ""%%ProgramFiles%%\7-zip\7z.exe"" (exit /b 1)""","cmd.exe","powershell.exe","ar-win-dc.attackrange.local","2023-10-04T09:10:07","2023-10-04T09:10:07"
"""C:\Windows\system32\cmd.exe"" /c ""if not exist ""%%ProgramFiles%%\WinZip\winzip64.exe"" (echo 1) else (echo 0)""","cmd.exe","powershell.exe","ar-win-2.attackrange.local","2023-10-04T09:11:17","2023-10-04T09:11:17"
"""C:\Windows\system32\cmd.exe"" /c ""if not exist ""%%ProgramFiles%%\WinZip\winzip64.exe"" (echo 1) else (echo 0)""","cmd.exe","powershell.exe","ar-win-dc.attackrange.local","2023-10-04T09:10:07","2023-10-04T09:10:07"
"""C:\Windows\system32\cmd.exe"" /c ""if not exist ""%%programfiles%%/WinRAR/Rar.exe"" (exit /b 1)""","cmd.exe","powershell.exe","ar-win-2.attackrange.local","2023-10-04T09:11:16","2023-10-04T09:11:16"
"""C:\Windows\system32\cmd.exe"" /c ""if not exist ""%%programfiles%%/WinRAR/Rar.exe"" (exit /b 1)""","cmd.exe","powershell.exe","ar-win-dc.attackrange.local","2023-10-04T09:10:06","2023-10-04T09:10:06"
"""C:\Windows\system32\cmd.exe"" /c ""if not exist ""%ProgramFiles%\7-zip\7z.exe"" (exit /b 1)""","cmd.exe","powershell.exe","ar-win-2.attackrange.local","2023-10-04T09:11:17","2023-10-04T09:11:17"
"""C:\Windows\system32\cmd.exe"" /c ""if not exist ""%ProgramFiles%\7-zip\7z.exe"" (exit /b 1)""","cmd.exe","powershell.exe","ar-win-dc.attackrange.local","2023-10-04T09:10:07","2023-10-04T09:10:07"
"""C:\Windows\system32\cmd.exe"" /c ""if not exist ""%ProgramFiles%\WinZip\winzip64.exe"" (echo 1) else (echo 0)""","cmd.exe","powershell.exe","ar-win-2.attackrange.local","2023-10-04T09:11:17","2023-10-04T09:11:17"
"""C:\Windows\system32\cmd.exe"" /c ""if not exist ""%ProgramFiles%\WinZip\winzip64.exe"" (echo 1) else (echo 0)""","cmd.exe","powershell.exe","ar-win-dc.attackrange.local","2023-10-04T09:10:07","2023-10-04T09:10:07"
"""C:\Windows\system32\cmd.exe"" /c ""if not exist ""%programfiles%/WinRAR/Rar.exe"" (exit /b 1)""","cmd.exe","powershell.exe","ar-win-2.attackrange.local","2023-10-04T09:11:16","2023-10-04T09:11:16"
"""C:\Windows\system32\cmd.exe"" /c ""if not exist ""%programfiles%/WinRAR/Rar.exe"" (exit /b 1)""","cmd.exe","powershell.exe","ar-win-dc.attackrange.local","2023-10-04T09:10:06","2023-10-04T09:10:06"
"""C:\Windows\system32\cmd.exe"" /c C:\AtomicRedTeam\atomics\..\ExternalPayloads\nircmd.exe win child class Shell_TrayWnd hide class TrayClockWClass","cmd.exe","powershell.exe","ar-win-2.attackrange.local","2023-10-04T09:05:41","2023-10-04T09:05:41"
"""C:\Windows\system32\cmd.exe"" /c C:\AtomicRedTeam\atomics\..\ExternalPayloads\nircmd.exe win child class Shell_TrayWnd hide class TrayClockWClass","cmd.exe","powershell.exe","ar-win-dc.attackrange.local","2023-10-04T09:06:19","2023-10-04T09:06:19"
"""C:\Windows\system32\cmd.exe"" /c C:\AtomicRedTeam\atomics\..\ExternalPayloads\nircmd.exe win child class Shell_TrayWnd show class TrayClockWClass -erroraction silentlycontinue","cmd.exe","powershell.exe","ar-win-2.attackrange.local","2023-10-04T09:05:48","2023-10-04T09:05:48"
"""C:\Windows\system32\cmd.exe"" /c C:\AtomicRedTeam\atomics\..\ExternalPayloads\nircmd.exe win child class Shell_TrayWnd show class TrayClockWClass -erroraction silentlycontinue","cmd.exe","powershell.exe","ar-win-dc.attackrange.local","2023-10-04T09:06:28","2023-10-04T09:06:28"
"""C:\Windows\system32\cmd.exe"" /d /c C:\Windows\system32\silcollector.cmd configure","cmd.exe","svchost.exe","ar-win-2.attackrange.local","2023-10-04T08:35:35","2023-10-04T08:35:35"
"""C:\Windows\system32\cmd.exe"" /d /c C:\Windows\system32\silcollector.cmd configure","cmd.exe","svchost.exe","ar-win-dc.attackrange.local","2023-10-04T08:35:42","2023-10-04T08:35:42"
"""cmd.exe"" /c """"","cmd.exe","powershell.exe","ar-win-2.attackrange.local","2023-10-04T08:41:45","2023-10-04T09:38:48"
"""cmd.exe"" /c """"","cmd.exe","powershell.exe","ar-win-dc.attackrange.local","2023-10-04T08:39:52","2023-10-04T09:35:10"
"""cmd.exe"" /c """"%%programfiles%%/WinRAR/Rar.exe"" a -r %%USERPROFILE%%\T1560.001-data.rar %%USERPROFILE%%\*.txt""","cmd.exe","powershell.exe","ar-win-2.attackrange.local","2023-10-04T09:11:22","2023-10-04T09:11:22"
"""cmd.exe"" /c """"%%programfiles%%/WinRAR/Rar.exe"" a -r %%USERPROFILE%%\T1560.001-data.rar %%USERPROFILE%%\*.txt""","cmd.exe","powershell.exe","ar-win-dc.attackrange.local","2023-10-04T09:10:12","2023-10-04T09:10:12"
"""cmd.exe"" /c ""%%LOCALAPPDATA:~-3,1%%md /c echo Hello, from CMD! &gt; hello.txt &amp; type hello.txt""","cmd.exe","powershell.exe","ar-win-2.attackrange.local","2023-10-04T09:38:38","2023-10-04T09:38:38"
"""cmd.exe"" /c ""%%LOCALAPPDATA:~-3,1%%md /c echo Hello, from CMD! &gt; hello.txt &amp; type hello.txt""","cmd.exe","powershell.exe","ar-win-dc.attackrange.local","2023-10-04T09:34:59","2023-10-04T09:34:59"
"""cmd.exe"" /c ""SCHTASKS /Create /S localhost /RU DOMAIN\user /RP At0micStrong /TN ""Atomic task"" /TR ""C:\windows\system32\cmd.exe"" /SC daily /ST 20:10""","cmd.exe","powershell.exe","ar-win-dc.attackrange.local","2023-10-04T08:40:47","2023-10-04T08:40:47"
"""cmd.exe"" /c ""SCHTASKS /Create /SC ONCE /TN spawn /TR C:\windows\system32\cmd.exe /ST 20:10""","cmd.exe","powershell.exe","ar-win-dc.attackrange.local","2023-10-04T08:40:47","2023-10-04T08:40:47"
"""cmd.exe"" /c ""SCHTASKS /Delete /S localhost /U DOMAIN\user /P At0micStrong /TN ""Atomic task"" /F &gt;nul 2&gt;&amp;1""","cmd.exe","powershell.exe","ar-win-dc.attackrange.local","2023-10-04T08:40:59","2023-10-04T08:40:59"
"""cmd.exe"" /c ""SCHTASKS /Delete /TN spawn /F &gt;nul 2&gt;&amp;1""","cmd.exe","powershell.exe","ar-win-dc.attackrange.local","2023-10-04T08:40:59","2023-10-04T08:40:59"
"""cmd.exe"" /c ""at 13:20 /interactive cmd""","cmd.exe","powershell.exe","ar-win-2.attackrange.local","2023-10-04T08:41:41","2023-10-04T08:41:41"
"""cmd.exe"" /c ""at 13:20 /interactive cmd""","cmd.exe","powershell.exe","ar-win-dc.attackrange.local","2023-10-04T08:39:46","2023-10-04T08:39:46"
"""cmd.exe"" /c ""attrib.exe -r %%temp%%\T1222.001_attrib\*.* /s""","cmd.exe","powershell.exe","ar-win-2.attackrange.local","2023-10-04T09:01:16","2023-10-04T09:01:16"
"""cmd.exe"" /c ""attrib.exe -r %%temp%%\T1222.001_attrib\*.* /s""","cmd.exe","powershell.exe","ar-win-dc.attackrange.local","2023-10-04T09:00:47","2023-10-04T09:00:47"
"""cmd.exe"" /c ""cmd /r cmd&lt;C:\AtomicRedTeam\atomics\T1059.003\src\t1059.003_cmd.cmd""","cmd.exe","powershell.exe","ar-win-2.attackrange.local","2023-10-04T09:38:41","2023-10-04T09:38:41"
"""cmd.exe"" /c ""cmd /r cmd&lt;C:\AtomicRedTeam\atomics\T1059.003\src\t1059.003_cmd.cmd""","cmd.exe","powershell.exe","ar-win-dc.attackrange.local","2023-10-04T09:35:02","2023-10-04T09:35:02"
"""cmd.exe"" /c ""del ""%%TEMP%%\test.bin"" &gt;nul 2&gt;&amp;1""","cmd.exe","powershell.exe","ar-win-2.attackrange.local","2023-10-04T09:38:48","2023-10-04T09:38:48"
"""cmd.exe"" /c ""del ""%%TEMP%%\test.bin"" &gt;nul 2&gt;&amp;1""","cmd.exe","powershell.exe","ar-win-dc.attackrange.local","2023-10-04T09:35:09","2023-10-04T09:35:09"
"""cmd.exe"" /c ""del /A:H %%temp%%\T1222.001_attrib_2\T1222.001_attrib*.txt &gt;nul 2&gt;&amp;1""","cmd.exe","powershell.exe","ar-win-2.attackrange.local","2023-10-04T09:01:21","2023-10-04T09:01:21"
"""cmd.exe"" /c ""del /A:H %%temp%%\T1222.001_attrib_2\T1222.001_attrib*.txt &gt;nul 2&gt;&amp;1""","cmd.exe","powershell.exe","ar-win-dc.attackrange.local","2023-10-04T09:00:53","2023-10-04T09:00:53"
"""cmd.exe"" /c ""del /f /q /s %%USERPROFILE%%\T1560.001-data.rar &gt;nul 2&gt;&amp;1""","cmd.exe","powershell.exe","ar-win-2.attackrange.local","2023-10-04T09:12:09","2023-10-04T09:12:09"
"""cmd.exe"" /c ""del /f /q /s %%USERPROFILE%%\T1560.001-data.rar &gt;nul 2&gt;&amp;1""","cmd.exe","powershell.exe","ar-win-dc.attackrange.local","2023-10-04T09:11:00","2023-10-04T09:11:00"
"""cmd.exe"" /c ""del C:\inetpub\wwwroot\b.jsp /q &gt;nul 2&gt;&amp;1 &amp; del C:\inetpub\wwwroot\tests.jsp /q &gt;nul 2&gt;&amp;1 &amp; del C:\inetpub\wwwroot\cmd.aspx /q &gt;nul 2&gt;&amp;1""","cmd.exe","powershell.exe","ar-win-2.attackrange.local","2023-10-04T08:47:42","2023-10-04T08:47:42"
"""cmd.exe"" /c ""del C:\inetpub\wwwroot\b.jsp /q &gt;nul 2&gt;&amp;1 &amp; del C:\inetpub\wwwroot\tests.jsp /q &gt;nul 2&gt;&amp;1 &amp; del C:\inetpub\wwwroot\cmd.aspx /q &gt;nul 2&gt;&amp;1""","cmd.exe","powershell.exe","ar-win-dc.attackrange.local","2023-10-04T08:47:13","2023-10-04T08:47:13"
"""cmd.exe"" /c ""echo ""Hello from the Windows Command Prompt!"" &gt; ""%%TEMP%%\test.bin"" &amp; type ""%%TEMP%%\test.bin""""","cmd.exe","powershell.exe","ar-win-2.attackrange.local","2023-10-04T09:38:38","2023-10-04T09:38:38"
"""cmd.exe"" /c ""echo ""Hello from the Windows Command Prompt!"" &gt; ""%%TEMP%%\test.bin"" &amp; type ""%%TEMP%%\test.bin""""","cmd.exe","powershell.exe","ar-win-dc.attackrange.local","2023-10-04T09:34:59","2023-10-04T09:34:59"
"""cmd.exe"" /c ""icacls ""C:\Users\Public\*"" /grant Everyone:F /T /C /Q""","cmd.exe","powershell.exe","ar-win-2.attackrange.local","2023-10-04T09:01:16","2023-10-04T09:01:16"
"""cmd.exe"" /c ""icacls ""C:\Users\Public\*"" /grant Everyone:F /T /C /Q""","cmd.exe","powershell.exe","ar-win-dc.attackrange.local","2023-10-04T09:00:47","2023-10-04T09:00:47"
"""cmd.exe"" /c ""icacls 'C:\Users\Public\*' /restore %%temp%%\T1222.001-folder-perms-backup.txt /q &gt;nul 2&gt;&amp;1""","cmd.exe","powershell.exe","ar-win-2.attackrange.local","2023-10-04T09:01:21","2023-10-04T09:01:21"
"""cmd.exe"" /c ""icacls 'C:\Users\Public\*' /restore %%temp%%\T1222.001-folder-perms-backup.txt /q &gt;nul 2&gt;&amp;1""","cmd.exe","powershell.exe","ar-win-dc.attackrange.local","2023-10-04T09:00:53","2023-10-04T09:00:53"
"""cmd.exe"" /c ""icacls C:\Users\Public\* /save %%temp%%\T1222.001-folder-perms-backup.txt /t /q &gt;nul 2&gt;&amp;1""","cmd.exe","powershell.exe","ar-win-2.attackrange.local","2023-10-04T09:01:11","2023-10-04T09:01:11"
"""cmd.exe"" /c ""icacls C:\Users\Public\* /save %%temp%%\T1222.001-folder-perms-backup.txt /t /q &gt;nul 2&gt;&amp;1""","cmd.exe","powershell.exe","ar-win-dc.attackrange.local","2023-10-04T09:00:41","2023-10-04T09:00:41"
"""cmd.exe"" /c ""icacls.exe %%temp%%\T1222.001_cacls /grant Everyone:F""","cmd.exe","powershell.exe","ar-win-2.attackrange.local","2023-10-04T09:01:16","2023-10-04T09:01:16"
"""cmd.exe"" /c ""icacls.exe %%temp%%\T1222.001_cacls /grant Everyone:F""","cmd.exe","powershell.exe","ar-win-dc.attackrange.local","2023-10-04T09:00:47","2023-10-04T09:00:47"
"""cmd.exe"" /c ""mkdir %%temp%%\T1222.001_attrib &amp; echo T1222.001_attrib1 &gt;&gt; %%temp%%\T1222.001_attrib\T1222.001_attrib1.txt &amp; echo T1222.001_attrib2 &gt;&gt; %%temp%%\T1222.001_attrib\T1222.001_attrib2.txt &amp; attrib.exe +r %%temp%%\T1222.001_attrib\T1222.001_attrib1.txt &amp; attrib.exe +r %%temp%%\T1222.001_attrib\T1222.001_attrib2.txt""","cmd.exe","powershell.exe","ar-win-2.attackrange.local","2023-10-04T09:01:11","2023-10-04T09:01:11"
"""cmd.exe"" /c ""mkdir %%temp%%\T1222.001_attrib &amp; echo T1222.001_attrib1 &gt;&gt; %%temp%%\T1222.001_attrib\T1222.001_attrib1.txt &amp; echo T1222.001_attrib2 &gt;&gt; %%temp%%\T1222.001_attrib\T1222.001_attrib2.txt &amp; attrib.exe +r %%temp%%\T1222.001_attrib\T1222.001_attrib1.txt &amp; attrib.exe +r %%temp%%\T1222.001_attrib\T1222.001_attrib2.txt""","cmd.exe","powershell.exe","ar-win-dc.attackrange.local","2023-10-04T09:00:41","2023-10-04T09:00:41"
"""cmd.exe"" /c ""mkdir %%temp%%\T1222.001_attrib_2 &gt;nul 2&gt;&amp;1 &amp; echo T1222.001_attrib1 &gt;&gt; %%temp%%\T1222.001_attrib_2\T1222.001_attrib1.txt &amp; echo T1222.001_attrib2 &gt;&gt; %%temp%%\T1222.001_attrib_2\T1222.001_attrib2.txt &amp; attrib.exe +h %%temp%%\T1222.001_attrib_2\T1222.001_attrib1.txt &amp; attrib.exe +h %%temp%%\T1222.001_attrib_2\T1222.001_attrib2.txt""","cmd.exe","powershell.exe","ar-win-2.attackrange.local","2023-10-04T09:01:16","2023-10-04T09:01:16"
"""cmd.exe"" /c ""mkdir %%temp%%\T1222.001_attrib_2 &gt;nul 2&gt;&amp;1 &amp; echo T1222.001_attrib1 &gt;&gt; %%temp%%\T1222.001_attrib_2\T1222.001_attrib1.txt &amp; echo T1222.001_attrib2 &gt;&gt; %%temp%%\T1222.001_attrib_2\T1222.001_attrib2.txt &amp; attrib.exe +h %%temp%%\T1222.001_attrib_2\T1222.001_attrib1.txt &amp; attrib.exe +h %%temp%%\T1222.001_attrib_2\T1222.001_attrib2.txt""","cmd.exe","powershell.exe","ar-win-dc.attackrange.local","2023-10-04T09:00:47","2023-10-04T09:00:47"
"""cmd.exe"" /c ""mkdir %%temp%%\T1222.001_cacls &amp; echo T1222.001_cacls1 &gt;&gt; %%temp%%\T1222.001_cacls\T1222.001_cacls1.txt &amp; echo T1222.001_cacls2 &gt;&gt; %%temp%%\T1222.001_cacls\T1222.001_cacls2.txt""","cmd.exe","powershell.exe","ar-win-2.attackrange.local","2023-10-04T09:01:11","2023-10-04T09:01:11"
"""cmd.exe"" /c ""mkdir %%temp%%\T1222.001_cacls &amp; echo T1222.001_cacls1 &gt;&gt; %%temp%%\T1222.001_cacls\T1222.001_cacls1.txt &amp; echo T1222.001_cacls2 &gt;&gt; %%temp%%\T1222.001_cacls\T1222.001_cacls2.txt""","cmd.exe","powershell.exe","ar-win-dc.attackrange.local","2023-10-04T09:00:41","2023-10-04T09:00:41"
"""cmd.exe"" /c ""mkdir %%temp%%\T1222.001_takeown_folder &amp; echo T1222.001_takeown1 &gt;&gt; %%temp%%\T1222.001_takeown_folder\T1222.001_takeown1.txt &amp; echo T1222.001_takeown2 &gt;&gt; %%temp%%\T1222.001_takeown_folder\T1222.001_takeown2.txt""","cmd.exe","powershell.exe","ar-win-2.attackrange.local","2023-10-04T09:01:11","2023-10-04T09:01:11"
"""cmd.exe"" /c ""mkdir %%temp%%\T1222.001_takeown_folder &amp; echo T1222.001_takeown1 &gt;&gt; %%temp%%\T1222.001_takeown_folder\T1222.001_takeown1.txt &amp; echo T1222.001_takeown2 &gt;&gt; %%temp%%\T1222.001_takeown_folder\T1222.001_takeown2.txt""","cmd.exe","powershell.exe","ar-win-dc.attackrange.local","2023-10-04T09:00:41","2023-10-04T09:00:41"
"""cmd.exe"" /c ""mkdir .\tmp\victim-files &amp; cd .\tmp\victim-files &amp; echo ""This file will be encrypted"" &gt; .\encrypted_file.txt &amp; ""%%programfiles%%/WinRAR/Rar.exe"" a -hp""blue"" hello.rar &amp; dir""","cmd.exe","powershell.exe","ar-win-2.attackrange.local","2023-10-04T09:11:55","2023-10-04T09:11:55"
"""cmd.exe"" /c ""mkdir .\tmp\victim-files &amp; cd .\tmp\victim-files &amp; echo ""This file will be encrypted"" &gt; .\encrypted_file.txt &amp; ""%%programfiles%%/WinRAR/Rar.exe"" a -hp""blue"" hello.rar &amp; dir""","cmd.exe","powershell.exe","ar-win-dc.attackrange.local","2023-10-04T09:10:46","2023-10-04T09:10:46"
"""cmd.exe"" /c ""mkdir C:\AtomicRedTeam\atomics\T1560.001\victim-files &amp; cd C:\AtomicRedTeam\atomics\T1560.001\victim-files &amp; echo ""This file will be encrypted"" &gt; .\encrypted_file.txt &amp; ""%%ProgramFiles%%\7-zip\7z.exe"" u archive.7z *txt -pblue &amp; dir""","cmd.exe","powershell.exe","ar-win-2.attackrange.local","2023-10-04T09:11:55","2023-10-04T09:11:55"
"""cmd.exe"" /c ""mkdir C:\AtomicRedTeam\atomics\T1560.001\victim-files &amp; cd C:\AtomicRedTeam\atomics\T1560.001\victim-files &amp; echo ""This file will be encrypted"" &gt; .\encrypted_file.txt &amp; ""%%ProgramFiles%%\7-zip\7z.exe"" u archive.7z *txt -pblue &amp; dir""","cmd.exe","powershell.exe","ar-win-dc.attackrange.local","2023-10-04T09:10:46","2023-10-04T09:10:46"
"""cmd.exe"" /c ""net user $ /DELETE 2&gt;&amp;1""","cmd.exe","powershell.exe","ar-win-2.attackrange.local","2023-10-04T09:05:46","2023-10-04T09:05:46"
"""cmd.exe"" /c ""net user $ /DELETE 2&gt;&amp;1""","cmd.exe","powershell.exe","ar-win-dc.attackrange.local","2023-10-04T09:06:24","2023-10-04T09:06:24"
"""cmd.exe"" /c ""net user $ ATOMIC123! /add /active:yes""","cmd.exe","powershell.exe","ar-win-2.attackrange.local","2023-10-04T09:05:38","2023-10-04T09:05:38"
"""cmd.exe"" /c ""net user $ ATOMIC123! /add /active:yes""","cmd.exe","powershell.exe","ar-win-dc.attackrange.local","2023-10-04T09:06:16","2023-10-04T09:06:16"
"""cmd.exe"" /c ""net.exe start spooler &gt;nul 2&gt;&amp;1""","cmd.exe","powershell.exe","ar-win-2.attackrange.local","2023-10-04T09:16:09","2023-10-04T09:16:09"
"""cmd.exe"" /c ""net.exe start spooler &gt;nul 2&gt;&amp;1""","cmd.exe","powershell.exe","ar-win-dc.attackrange.local","2023-10-04T09:15:42","2023-10-04T09:15:42"
"""cmd.exe"" /c ""net.exe stop spooler""","cmd.exe","powershell.exe","ar-win-2.attackrange.local","2023-10-04T09:16:05","2023-10-04T09:16:05"
"""cmd.exe"" /c ""net.exe stop spooler""","cmd.exe","powershell.exe","ar-win-dc.attackrange.local","2023-10-04T09:15:38","2023-10-04T09:15:38"
"""cmd.exe"" /c ""path=%%path%%;""C:\Program Files (x86)\winzip"" &amp; mkdir .\tmp\victim-files &amp; cd .\tmp\victim-files &amp; echo ""This file will be encrypted"" &gt; .\encrypted_file.txt &amp; ""%%ProgramFiles%%\WinZip\winzip64.exe"" -min -a -s""hello"" archive.zip * &amp; dir""","cmd.exe","powershell.exe","ar-win-2.attackrange.local","2023-10-04T09:11:55","2023-10-04T09:11:55"
"""cmd.exe"" /c ""path=%%path%%;""C:\Program Files (x86)\winzip"" &amp; mkdir .\tmp\victim-files &amp; cd .\tmp\victim-files &amp; echo ""This file will be encrypted"" &gt; .\encrypted_file.txt &amp; ""%%ProgramFiles%%\WinZip\winzip64.exe"" -min -a -s""hello"" archive.zip * &amp; dir""","cmd.exe","powershell.exe","ar-win-dc.attackrange.local","2023-10-04T09:10:46","2023-10-04T09:10:46"
"""cmd.exe"" /c ""reg add HKCU\SOFTWARE\ATOMIC-T1053.005 /v test /t REG_SZ /d cGluZyAxMjcuMC4wLjE= /f &amp; schtasks.exe /Create /F /TN ""ATOMIC-T1053.005"" /TR ""cmd /c start /min \""\"" powershell.exe -Command IEX([System.Text.Encoding]::ASCII.GetString([System.Convert]::FromBase64String((Get-ItemProperty -Path HKCU:\\SOFTWARE\\ATOMIC-T1053.005).test)))"" /sc daily /st 07:45""","cmd.exe","powershell.exe","ar-win-dc.attackrange.local","2023-10-04T08:40:52","2023-10-04T08:40:52"
"""cmd.exe"" /c ""reg query HKCU\Software\SimonTatham\PuTTY\Sessions /t REG_SZ /s""","cmd.exe","powershell.exe","ar-win-2.attackrange.local","2023-10-04T08:53:43","2023-10-04T08:53:43"
"""cmd.exe"" /c ""reg query HKCU\Software\SimonTatham\PuTTY\Sessions /t REG_SZ /s""","cmd.exe","powershell.exe","ar-win-dc.attackrange.local","2023-10-04T08:59:26","2023-10-04T08:59:26"
"""cmd.exe"" /c ""reg query HKLM /f password /t REG_SZ /s &amp; reg query HKCU /f password /t REG_SZ /s""","cmd.exe","powershell.exe","ar-win-2.attackrange.local","2023-10-04T08:53:20","2023-10-04T08:53:20"
"""cmd.exe"" /c ""reg query HKLM /f password /t REG_SZ /s &amp; reg query HKCU /f password /t REG_SZ /s""","cmd.exe","powershell.exe","ar-win-dc.attackrange.local","2023-10-04T08:59:03","2023-10-04T08:59:03"
"""cmd.exe"" /c ""rmdir /s /Q C:\AtomicRedTeam\atomics\T1560.001\victim-files &gt;nul 2&gt;&amp;1""","cmd.exe","powershell.exe","ar-win-2.attackrange.local","2023-10-04T09:12:09","2023-10-04T09:12:09"
