dest,user,"parent_process","parent_process_name","process_name","original_file_name",process,"process_id","parent_process_id",count,firstTime,lastTime
"ar-win-2.attackrange.local",Administrator,"""C:\Windows\Microsoft.NET\Framework64\v4.0.30319\csc.exe"" /noconfig /fullpaths @""C:\Users\ADMINI~1\AppData\Local\Temp\zqcqpkyx.cmdline""","csc.exe","cvtres.exe","CVTRES.EXE","C:\Windows\Microsoft.NET\Framework64\v4.0.30319\cvtres.exe /NOLOGO /READONLY /MACHINE:IX86 ""/OUT:C:\Users\ADMINI~1\AppData\Local\Temp\RES239F.tmp"" ""c:\Users\Administrator\AppData\Local\Temp\CSC50F5F0729AC481F8C995BDD2AC9BA56.TMP""",3788,3456,1,"2023-09-30T10:42:17","2023-09-30T10:42:17"
"ar-win-2.attackrange.local",Administrator,"""C:\Windows\Microsoft.NET\Framework64\v4.0.30319\csc.exe"" /noconfig /fullpaths @""C:\Users\Administrator\AppData\Local\Temp\1jf34yia\1jf34yia.cmdline""","csc.exe","cvtres.exe","CVTRES.EXE","C:\Windows\Microsoft.NET\Framework64\v4.0.30319\cvtres.exe /NOLOGO /READONLY /MACHINE:IX86 ""/OUT:C:\Users\ADMINI~1\AppData\Local\Temp\RES77AE.tmp"" ""c:\Users\Administrator\AppData\Local\Temp\1jf34yia\CSCD8E2804B5DA646E2B636738939546D9D.TMP""",3736,6976,1,"2023-09-30T10:49:12","2023-09-30T10:49:12"
"ar-win-2.attackrange.local",Administrator,"""C:\Windows\Microsoft.NET\Framework64\v4.0.30319\csc.exe"" /noconfig /fullpaths @""C:\Users\Administrator\AppData\Local\Temp\1qt41eie\1qt41eie.cmdline""","csc.exe","cvtres.exe","CVTRES.EXE","C:\Windows\Microsoft.NET\Framework64\v4.0.30319\cvtres.exe /NOLOGO /READONLY /MACHINE:IX86 ""/OUT:C:\Users\ADMINI~1\AppData\Local\Temp\RES406E.tmp"" ""c:\Users\Administrator\AppData\Local\Temp\1qt41eie\CSCC9737057F9014339B51046E0E54756F1.TMP""",5156,6844,1,"2023-09-30T10:42:25","2023-09-30T10:42:25"
"ar-win-2.attackrange.local",Administrator,"""C:\Windows\Microsoft.NET\Framework64\v4.0.30319\csc.exe"" /noconfig /fullpaths @""C:\Users\Administrator\AppData\Local\Temp\3vjzvvl0\3vjzvvl0.cmdline""","csc.exe","cvtres.exe","CVTRES.EXE","C:\Windows\Microsoft.NET\Framework64\v4.0.30319\cvtres.exe /NOLOGO /READONLY /MACHINE:IX86 ""/OUT:C:\Users\ADMINI~1\AppData\Local\Temp\RESADBF.tmp"" ""c:\Users\Administrator\AppData\Local\Temp\3vjzvvl0\CSCE371EFE8D95647F0AF17B89057DA5C8.TMP""",1928,3136,1,"2023-09-30T10:42:53","2023-09-30T10:42:53"
"ar-win-2.attackrange.local",Administrator,"""C:\Windows\Microsoft.NET\Framework64\v4.0.30319\csc.exe"" /noconfig /fullpaths @""C:\Users\Administrator\AppData\Local\Temp\5nxtnnqa\5nxtnnqa.cmdline""","csc.exe","cvtres.exe","CVTRES.EXE","C:\Windows\Microsoft.NET\Framework64\v4.0.30319\cvtres.exe /NOLOGO /READONLY /MACHINE:IX86 ""/OUT:C:\Users\ADMINI~1\AppData\Local\Temp\RES3C57.tmp"" ""c:\Users\Administrator\AppData\Local\Temp\5nxtnnqa\CSC64F3D0FCCE754A1ABC4030C0885073EB.TMP""",5812,1896,1,"2023-09-30T10:42:24","2023-09-30T10:42:24"
"ar-win-2.attackrange.local",Administrator,"""C:\Windows\Microsoft.NET\Framework64\v4.0.30319\csc.exe"" /noconfig /fullpaths @""C:\Users\Administrator\AppData\Local\Temp\aj4lh45s\aj4lh45s.cmdline""","csc.exe","cvtres.exe","CVTRES.EXE","C:\Windows\Microsoft.NET\Framework64\v4.0.30319\cvtres.exe /NOLOGO /READONLY /MACHINE:IX86 ""/OUT:C:\Users\ADMINI~1\AppData\Local\Temp\RES99E9.tmp"" ""c:\Users\Administrator\AppData\Local\Temp\aj4lh45s\CSCA3D97C419C514C07AAD1678AE73DCAD.TMP""",6092,5200,1,"2023-09-30T10:42:47","2023-09-30T10:42:47"
"ar-win-2.attackrange.local",Administrator,"""C:\Windows\Microsoft.NET\Framework64\v4.0.30319\csc.exe"" /noconfig /fullpaths @""C:\Users\Administrator\AppData\Local\Temp\ansible-moduletmp-133405441380236750-1857767634\xew0xrfb.cmdline""","csc.exe","cvtres.exe","CVTRES.EXE","C:\Windows\Microsoft.NET\Framework64\v4.0.30319\cvtres.exe /NOLOGO /READONLY /MACHINE:IX86 ""/OUT:C:\Users\ADMINI~1\AppData\Local\Temp\RES2584.tmp"" ""c:\Users\Administrator\AppData\Local\Temp\ansible-moduletmp-133405441380236750-1857767634\CSC49B6BF6793645B0ACE85683586BD4B.TMP""",6840,3940,1,"2023-09-30T10:42:18","2023-09-30T10:42:18"
"ar-win-2.attackrange.local",Administrator,"""C:\Windows\Microsoft.NET\Framework64\v4.0.30319\csc.exe"" /noconfig /fullpaths @""C:\Users\Administrator\AppData\Local\Temp\b4pam43c\b4pam43c.cmdline""","csc.exe","cvtres.exe","CVTRES.EXE","C:\Windows\Microsoft.NET\Framework64\v4.0.30319\cvtres.exe /NOLOGO /READONLY /MACHINE:IX86 ""/OUT:C:\Users\ADMINI~1\AppData\Local\Temp\RES397C.tmp"" ""c:\Users\Administrator\AppData\Local\Temp\b4pam43c\CSC81AB5CDBEFAC4917B9C4B66775C2A0C1.TMP""",3284,5968,1,"2023-09-30T10:48:56","2023-09-30T10:48:56"
"ar-win-2.attackrange.local",Administrator,"""C:\Windows\Microsoft.NET\Framework64\v4.0.30319\csc.exe"" /noconfig /fullpaths @""C:\Users\Administrator\AppData\Local\Temp\bfcci4ui\bfcci4ui.cmdline""","csc.exe","cvtres.exe","CVTRES.EXE","C:\Windows\Microsoft.NET\Framework64\v4.0.30319\cvtres.exe /NOLOGO /READONLY /MACHINE:IX86 ""/OUT:C:\Users\ADMINI~1\AppData\Local\Temp\RES59B.tmp"" ""c:\Users\Administrator\AppData\Local\Temp\bfcci4ui\CSC4738E789AC8C4133A9FE5CF783FAE39.TMP""",1904,952,1,"2023-09-30T10:48:43","2023-09-30T10:48:43"
"ar-win-2.attackrange.local",Administrator,"""C:\Windows\Microsoft.NET\Framework64\v4.0.30319\csc.exe"" /noconfig /fullpaths @""C:\Users\Administrator\AppData\Local\Temp\g3np401y\g3np401y.cmdline""","csc.exe","cvtres.exe","CVTRES.EXE","C:\Windows\Microsoft.NET\Framework64\v4.0.30319\cvtres.exe /NOLOGO /READONLY /MACHINE:IX86 ""/OUT:C:\Users\ADMINI~1\AppData\Local\Temp\RES3478.tmp"" ""c:\Users\Administrator\AppData\Local\Temp\g3np401y\CSC656D5F30C1BE4A4FA9B0C69B126E6456.TMP""",3724,5832,1,"2023-09-30T10:42:22","2023-09-30T10:42:22"
"ar-win-2.attackrange.local",Administrator,"""C:\Windows\Microsoft.NET\Framework64\v4.0.30319\csc.exe"" /noconfig /fullpaths @""C:\Users\Administrator\AppData\Local\Temp\hcpetlfv\hcpetlfv.cmdline""","csc.exe","cvtres.exe","CVTRES.EXE","C:\Windows\Microsoft.NET\Framework64\v4.0.30319\cvtres.exe /NOLOGO /READONLY /MACHINE:IX86 ""/OUT:C:\Users\ADMINI~1\AppData\Local\Temp\RES6CA2.tmp"" ""c:\Users\Administrator\AppData\Local\Temp\hcpetlfv\CSC46D9487DE3DD47EFB53C16AA34BC19E6.TMP""",6348,6724,1,"2023-09-30T10:49:09","2023-09-30T10:49:09"
"ar-win-2.attackrange.local",Administrator,"""C:\Windows\Microsoft.NET\Framework64\v4.0.30319\csc.exe"" /noconfig /fullpaths @""C:\Users\Administrator\AppData\Local\Temp\lrbhtsav\lrbhtsav.cmdline""","csc.exe","cvtres.exe","CVTRES.EXE","C:\Windows\Microsoft.NET\Framework64\v4.0.30319\cvtres.exe /NOLOGO /READONLY /MACHINE:IX86 ""/OUT:C:\Users\ADMINI~1\AppData\Local\Temp\RES7FBC.tmp"" ""c:\Users\Administrator\AppData\Local\Temp\lrbhtsav\CSC88F331DDA82F4F7CA24CCCB52B89B9F4.TMP""",2976,5352,1,"2023-09-30T10:49:14","2023-09-30T10:49:14"
"ar-win-2.attackrange.local",Administrator,"""C:\Windows\Microsoft.NET\Framework64\v4.0.30319\csc.exe"" /noconfig /fullpaths @""C:\Users\Administrator\AppData\Local\Temp\mtvtdvk4\mtvtdvk4.cmdline""","csc.exe","cvtres.exe","CVTRES.EXE","C:\Windows\Microsoft.NET\Framework64\v4.0.30319\cvtres.exe /NOLOGO /READONLY /MACHINE:IX86 ""/OUT:C:\Users\ADMINI~1\AppData\Local\Temp\RES7B67.tmp"" ""c:\Users\Administrator\AppData\Local\Temp\mtvtdvk4\CSCB550C465BFAF421AABBB92367BFFFA37.TMP""",5696,4964,1,"2023-09-30T10:49:13","2023-09-30T10:49:13"
"ar-win-2.attackrange.local",Administrator,"""C:\Windows\Microsoft.NET\Framework64\v4.0.30319\csc.exe"" /noconfig /fullpaths @""C:\Users\Administrator\AppData\Local\Temp\p50klrkd\p50klrkd.cmdline""","csc.exe","cvtres.exe","CVTRES.EXE","C:\Windows\Microsoft.NET\Framework64\v4.0.30319\cvtres.exe /NOLOGO /READONLY /MACHINE:IX86 ""/OUT:C:\Users\ADMINI~1\AppData\Local\Temp\RES7053.tmp"" ""c:\Users\Administrator\AppData\Local\Temp\p50klrkd\CSC7D3552AE174F460D93D35B841BF3C9F9.TMP""",3928,3388,1,"2023-09-30T10:43:42","2023-09-30T10:43:42"
"ar-win-2.attackrange.local",Administrator,"""C:\Windows\Microsoft.NET\Framework64\v4.0.30319\csc.exe"" /noconfig /fullpaths @""C:\Users\Administrator\AppData\Local\Temp\phehxfod\phehxfod.cmdline""","csc.exe","cvtres.exe","CVTRES.EXE","C:\Windows\Microsoft.NET\Framework64\v4.0.30319\cvtres.exe /NOLOGO /READONLY /MACHINE:IX86 ""/OUT:C:\Users\ADMINI~1\AppData\Local\Temp\RESA487.tmp"" ""c:\Users\Administrator\AppData\Local\Temp\phehxfod\CSC390154A8CA214497A84ECD8ABBF8434B.TMP""",5908,5348,1,"2023-09-30T10:42:50","2023-09-30T10:42:50"
"ar-win-2.attackrange.local",Administrator,"""C:\Windows\Microsoft.NET\Framework64\v4.0.30319\csc.exe"" /noconfig /fullpaths @""C:\Users\Administrator\AppData\Local\Temp\wgymohf2\wgymohf2.cmdline""","csc.exe","cvtres.exe","CVTRES.EXE","C:\Windows\Microsoft.NET\Framework64\v4.0.30319\cvtres.exe /NOLOGO /READONLY /MACHINE:IX86 ""/OUT:C:\Users\ADMINI~1\AppData\Local\Temp\RES73F5.tmp"" ""c:\Users\Administrator\AppData\Local\Temp\wgymohf2\CSCAB76962A3DF44535BEEABA4D4AB678.TMP""",1424,5992,1,"2023-09-30T10:49:11","2023-09-30T10:49:11"
"ar-win-2.attackrange.local",Administrator,"""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" &amp; {if (Test-Path C:\Users\Public\ngrok) {exit 0} else {exit 1}}","powershell.exe","HOSTNAME.EXE","hostname.exe","""C:\Windows\system32\HOSTNAME.EXE""",4524,6988,1,"2023-09-30T10:42:48","2023-09-30T10:42:48"
"ar-win-2.attackrange.local",Administrator,"""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" &amp; {if (Test-Path C:\Users\Public\ngrok) {exit 0} else {exit 1}}","powershell.exe","HOSTNAME.EXE","hostname.exe","""C:\Windows\system32\HOSTNAME.EXE""",4852,6988,1,"2023-09-30T10:42:48","2023-09-30T10:42:48"
"ar-win-2.attackrange.local",Administrator,"""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" &amp; {if (Test-Path C:\Users\Public\ngrok) {exit 0} else {exit 1}}","powershell.exe","HOSTNAME.EXE","hostname.exe","""C:\Windows\system32\HOSTNAME.EXE""",6752,3460,1,"2023-09-30T10:42:24","2023-09-30T10:42:24"
"ar-win-2.attackrange.local",Administrator,"""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" &amp; {if (Test-Path C:\Users\Public\ngrok) {exit 0} else {exit 1}}","powershell.exe","HOSTNAME.EXE","hostname.exe","""C:\Windows\system32\HOSTNAME.EXE""",852,3460,1,"2023-09-30T10:42:24","2023-09-30T10:42:24"
"ar-win-2.attackrange.local",Administrator,"""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" &amp; {if (Test-Path C:\Users\Public\ngrok) {exit 0} else {exit 1}}","powershell.exe","csc.exe","csc.exe","""C:\Windows\Microsoft.NET\Framework64\v4.0.30319\csc.exe"" /noconfig /fullpaths @""C:\Users\Administrator\AppData\Local\Temp\5nxtnnqa\5nxtnnqa.cmdline""",1896,3460,1,"2023-09-30T10:42:23","2023-09-30T10:42:23"
"ar-win-2.attackrange.local",Administrator,"""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" &amp; {if (Test-Path C:\Users\Public\ngrok) {exit 0} else {exit 1}}","powershell.exe","csc.exe","csc.exe","""C:\Windows\Microsoft.NET\Framework64\v4.0.30319\csc.exe"" /noconfig /fullpaths @""C:\Users\Administrator\AppData\Local\Temp\aj4lh45s\aj4lh45s.cmdline""",5200,6988,1,"2023-09-30T10:42:47","2023-09-30T10:42:47"
"ar-win-2.attackrange.local",Administrator,"""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -NoProfile -NonInteractive -ExecutionPolicy Unrestricted -EncodedCommand JgBjAGgAYwBwAC4AYwBvAG0AIAA2ADUAMAAwADEAIAA+ACAAJABuAHUAbABsAAoAaQBmACAAKAAkAFAAUwBWAGUAcgBzAGkAbwBuAFQAYQBiAGwAZQAuAFAAUwBWAGUAcgBzAGkAbwBuACAALQBsAHQAIABbAFYAZQByAHMAaQBvAG4AXQAiADMALgAwACIAKQAgAHsACgAnAHsAIgBmAGEAaQBsAGUAZAAiADoAdAByAHUAZQAsACIAbQBzAGcAIgA6ACIAQQBuAHMAaQBiAGwAZQAgAHIAZQBxAHUAaQByAGUAcwAgAFAAbwB3AGUAcgBTAGgAZQBsAGwAIAB2ADMALgAwACAAbwByACAAbgBlAHcAZQByACIAfQAnAAoAZQB4AGkAdAAgADEACgB9AAoAJABlAHgAZQBjAF8AdwByAGEAcABwAGUAcgBfAHMAdAByACAAPQAgACQAaQBuAHAAdQB0ACAAfAAgAE8AdQB0AC0AUwB0AHIAaQBuAGcACgAkAHMAcABsAGkAdABfAHAAYQByAHQAcwAgAD0AIAAkAGUAeABlAGMAXwB3AHIAYQBwAHAAZQByAF8AcwB0AHIALgBTAHAAbABpAHQAKABAACgAIgBgADAAYAAwAGAAMABgADAAIgApACwAIAAyACwAIABbAFMAdAByAGkAbgBnAFMAcABsAGkAdABPAHAAdABpAG8AbgBzAF0AOgA6AFIAZQBtAG8AdgBlAEUAbQBwAHQAeQBFAG4AdAByAGkAZQBzACkACgBJAGYAIAAoAC0AbgBvAHQAIAAkAHMAcABsAGkAdABfAHAAYQByAHQAcwAuAEwAZQBuAGcAdABoACAALQBlAHEAIAAyACkAIAB7ACAAdABoAHIAbwB3ACAAIgBpAG4AdgBhAGwAaQBkACAAcABhAHkAbABvAGEAZAAiACAAfQAKAFMAZQB0AC0AVgBhAHIAaQBhAGIAbABlACAALQBOAGEAbQBlACAAagBzAG8AbgBfAHIAYQB3ACAALQBWAGEAbAB1AGUAIAAkAHMAcABsAGkAdABfAHAAYQByAHQAcwBbADEAXQAKACQAZQB4AGUAYwBfAHcAcgBhAHAAcABlAHIAIAA9ACAAWwBTAGMAcgBpAHAAdABCAGwAbwBjAGsAXQA6ADoAQwByAGUAYQB0AGUAKAAkAHMAcABsAGkAdABfAHAAYQByAHQAcwBbADAAXQApAAoAJgAkAGUAeABlAGMAXwB3AHIAYQBwAHAAZQByAA==","powershell.exe","chcp.com","CHCP.COM","""C:\Windows\system32\chcp.com"" 65001",4460,5704,1,"2023-09-30T10:42:16","2023-09-30T10:42:16"
"ar-win-2.attackrange.local",Administrator,"""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -NoProfile -NonInteractive -ExecutionPolicy Unrestricted -EncodedCommand JgBjAGgAYwBwAC4AYwBvAG0AIAA2ADUAMAAwADEAIAA+ACAAJABuAHUAbABsAAoAaQBmACAAKAAkAFAAUwBWAGUAcgBzAGkAbwBuAFQAYQBiAGwAZQAuAFAAUwBWAGUAcgBzAGkAbwBuACAALQBsAHQAIABbAFYAZQByAHMAaQBvAG4AXQAiADMALgAwACIAKQAgAHsACgAnAHsAIgBmAGEAaQBsAGUAZAAiADoAdAByAHUAZQAsACIAbQBzAGcAIgA6ACIAQQBuAHMAaQBiAGwAZQAgAHIAZQBxAHUAaQByAGUAcwAgAFAAbwB3AGUAcgBTAGgAZQBsAGwAIAB2ADMALgAwACAAbwByACAAbgBlAHcAZQByACIAfQAnAAoAZQB4AGkAdAAgADEACgB9AAoAJABlAHgAZQBjAF8AdwByAGEAcABwAGUAcgBfAHMAdAByACAAPQAgACQAaQBuAHAAdQB0ACAAfAAgAE8AdQB0AC0AUwB0AHIAaQBuAGcACgAkAHMAcABsAGkAdABfAHAAYQByAHQAcwAgAD0AIAAkAGUAeABlAGMAXwB3AHIAYQBwAHAAZQByAF8AcwB0AHIALgBTAHAAbABpAHQAKABAACgAIgBgADAAYAAwAGAAMABgADAAIgApACwAIAAyACwAIABbAFMAdAByAGkAbgBnAFMAcABsAGkAdABPAHAAdABpAG8AbgBzAF0AOgA6AFIAZQBtAG8AdgBlAEUAbQBwAHQAeQBFAG4AdAByAGkAZQBzACkACgBJAGYAIAAoAC0AbgBvAHQAIAAkAHMAcABsAGkAdABfAHAAYQByAHQAcwAuAEwAZQBuAGcAdABoACAALQBlAHEAIAAyACkAIAB7ACAAdABoAHIAbwB3ACAAIgBpAG4AdgBhAGwAaQBkACAAcABhAHkAbABvAGEAZAAiACAAfQAKAFMAZQB0AC0AVgBhAHIAaQBhAGIAbABlACAALQBOAGEAbQBlACAAagBzAG8AbgBfAHIAYQB3ACAALQBWAGEAbAB1AGUAIAAkAHMAcABsAGkAdABfAHAAYQByAHQAcwBbADEAXQAKACQAZQB4AGUAYwBfAHcAcgBhAHAAcABlAHIAIAA9ACAAWwBTAGMAcgBpAHAAdABCAGwAbwBjAGsAXQA6ADoAQwByAGUAYQB0AGUAKAAkAHMAcABsAGkAdABfAHAAYQByAHQAcwBbADAAXQApAAoAJgAkAGUAeABlAGMAXwB3AHIAYQBwAHAAZQByAA==","powershell.exe","chcp.com","CHCP.COM","""C:\Windows\system32\chcp.com"" 65001",4840,5112,1,"2023-09-30T10:49:08","2023-09-30T10:49:08"
"ar-win-2.attackrange.local",Administrator,"""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -NoProfile -NonInteractive -ExecutionPolicy Unrestricted -EncodedCommand JgBjAGgAYwBwAC4AYwBvAG0AIAA2ADUAMAAwADEAIAA+ACAAJABuAHUAbABsAAoAaQBmACAAKAAkAFAAUwBWAGUAcgBzAGkAbwBuAFQAYQBiAGwAZQAuAFAAUwBWAGUAcgBzAGkAbwBuACAALQBsAHQAIABbAFYAZQByAHMAaQBvAG4AXQAiADMALgAwACIAKQAgAHsACgAnAHsAIgBmAGEAaQBsAGUAZAAiADoAdAByAHUAZQAsACIAbQBzAGcAIgA6ACIAQQBuAHMAaQBiAGwAZQAgAHIAZQBxAHUAaQByAGUAcwAgAFAAbwB3AGUAcgBTAGgAZQBsAGwAIAB2ADMALgAwACAAbwByACAAbgBlAHcAZQByACIAfQAnAAoAZQB4AGkAdAAgADEACgB9AAoAJABlAHgAZQBjAF8AdwByAGEAcABwAGUAcgBfAHMAdAByACAAPQAgACQAaQBuAHAAdQB0ACAAfAAgAE8AdQB0AC0AUwB0AHIAaQBuAGcACgAkAHMAcABsAGkAdABfAHAAYQByAHQAcwAgAD0AIAAkAGUAeABlAGMAXwB3AHIAYQBwAHAAZQByAF8AcwB0AHIALgBTAHAAbABpAHQAKABAACgAIgBgADAAYAAwAGAAMABgADAAIgApACwAIAAyACwAIABbAFMAdAByAGkAbgBnAFMAcABsAGkAdABPAHAAdABpAG8AbgBzAF0AOgA6AFIAZQBtAG8AdgBlAEUAbQBwAHQAeQBFAG4AdAByAGkAZQBzACkACgBJAGYAIAAoAC0AbgBvAHQAIAAkAHMAcABsAGkAdABfAHAAYQByAHQAcwAuAEwAZQBuAGcAdABoACAALQBlAHEAIAAyACkAIAB7ACAAdABoAHIAbwB3ACAAIgBpAG4AdgBhAGwAaQBkACAAcABhAHkAbABvAGEAZAAiACAAfQAKAFMAZQB0AC0AVgBhAHIAaQBhAGIAbABlACAALQBOAGEAbQBlACAAagBzAG8AbgBfAHIAYQB3ACAALQBWAGEAbAB1AGUAIAAkAHMAcABsAGkAdABfAHAAYQByAHQAcwBbADEAXQAKACQAZQB4AGUAYwBfAHcAcgBhAHAAcABlAHIAIAA9ACAAWwBTAGMAcgBpAHAAdABCAGwAbwBjAGsAXQA6ADoAQwByAGUAYQB0AGUAKAAkAHMAcABsAGkAdABfAHAAYQByAHQAcwBbADAAXQApAAoAJgAkAGUAeABlAGMAXwB3AHIAYQBwAHAAZQByAA==","powershell.exe","chcp.com","CHCP.COM","""C:\Windows\system32\chcp.com"" 65001",4888,5852,1,"2023-09-30T10:42:49","2023-09-30T10:42:49"
